Date	Tue Jul 15 18:29:42 2025

%Alcons (S)	4.45
%Alcons (L)	5.63
Bass Ratio	1.09
T Low	0.71
T Mid	0.65
CIS	0.79

		125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz
STI	0.62	0.73	0.58	0.66	0.50	0.58	0.67	0.74
STIPA(IR)	0.64	0.71	0.62	0.80	0.43	0.61	0.80	0.59
EQ	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Noise	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

Filter	Band	RT60	EDT	D/R	C10	C35	C50	C80
		0.65	0.58	9.54	-4.43	1.36	4.10	7.93
Oct	16Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Oct	32Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Oct	63Hz	0.82	0.56	9.55	-4.69	2.24	3.02	8.99
Oct	125Hz	0.70	0.44	9.55	-6.77	1.05	6.20	11.48
Oct	250Hz	0.72	0.70	9.55	-5.89	-2.53	-0.12	5.12
Oct	500Hz	0.64	0.73	9.54	-5.19	0.39	3.38	6.47
Oct	1kHz	0.66	0.74	9.55	-6.05	-1.44	1.70	5.36
Oct	2kHz	0.62	0.68	9.54	-7.63	-0.23	2.00	5.99
Oct	4kHz	0.54	0.55	9.54	-6.52	1.18	3.83	8.17
Oct	8kHz	0.46	0.46	9.54	-3.23	3.29	5.84	10.58
Oct	16kHz	0.36	0.34	9.54	-1.19	6.08	8.60	14.38
1/3	13Hz	18.30	22.27	9.54	0.00	0.00	0.00	0.00
1/3	16Hz	10.86	17.62	9.54	0.00	0.00	0.00	0.00
1/3	20Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	25Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	32Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	40Hz	6.43	1.90	9.54	-7.77	0.51	3.69	6.39
1/3	50Hz	1.01	0.69	9.55	-3.40	3.84	5.61	7.67
1/3	63Hz	1.00	0.67	9.55	-5.06	-1.03	-0.01	6.46
1/3	80Hz	0.81	0.44	9.55	-5.43	3.39	6.15	9.68
1/3	100Hz	0.63	0.39	9.55	-4.16	4.11	6.93	12.66
1/3	125Hz	0.71	0.39	9.54	-2.82	1.37	6.90	12.09
1/3	160Hz	0.83	0.36	9.54	-2.53	7.56	8.64	14.17
1/3	200Hz	0.73	0.42	9.55	-0.25	6.08	8.38	11.11
1/3	250Hz	0.76	0.66	9.55	-4.79	-0.39	2.08	5.47
1/3	315Hz	0.69	0.96	9.54	-8.60	-2.38	-0.61	2.91
1/3	400Hz	0.62	0.75	9.54	-2.69	1.07	2.52	5.87
1/3	500Hz	0.60	0.46	9.54	-2.71	2.35	6.74	10.48
1/3	630Hz	0.66	0.76	9.54	-8.65	-1.78	0.90	3.55
1/3	800Hz	0.64	0.82	9.54	-7.66	-1.70	2.02	4.31
1/3	1kHz	0.67	0.66	9.54	-5.52	-1.59	1.49	5.95
1/3	1.3kHz	0.65	0.74	9.54	-6.84	-1.91	1.87	5.09
1/3	1.6kHz	0.67	0.70	9.54	-6.40	-0.41	2.03	6.44
1/3	2kHz	0.62	0.70	9.54	-6.32	-0.35	1.45	5.92
1/3	2.5kHz	0.57	0.65	9.55	-7.80	-0.77	2.10	6.22
1/3	3.2kHz	0.56	0.62	9.55	-3.37	0.93	3.27	7.66
1/3	4kHz	0.56	0.48	9.54	-5.67	1.75	5.28	9.12
1/3	5kHz	0.52	0.58	9.55	-6.68	0.85	2.59	7.57
1/3	6.3kHz	0.49	0.50	9.54	-4.98	2.01	5.21	9.24
1/3	8kHz	0.46	0.45	9.54	-3.30	3.17	5.72	10.68
1/3	10kHz	0.40	0.43	9.54	-3.49	3.29	6.06	11.10
1/3	12.5kHz	0.35	0.37	9.55	-0.95	5.59	7.98	13.71
1/3	16kHz	0.30	0.29	9.54	-1.76	7.16	9.88	16.73
1/3	20kHz	0.33	0.25	9.56	0.33	8.62	11.60	15.79
