Date	Tue Jul 15 18:25:53 2025

%Alcons (S)	2.18
%Alcons (L)	2.53
Bass Ratio	0.88
T Low	0.52
T Mid	0.59
CIS	0.97

		125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz
STI	0.94	0.99	0.97	0.98	0.86	0.91	1.00	1.00
STIPA(IR)	0.95	0.99	0.98	0.99	0.86	0.91	1.00	1.00
EQ	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Noise	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

Filter	Band	RT60	EDT	D/R	C10	C35	C50	C80
		0.42	0.01	9.64	16.69	22.84	24.39	28.76
Oct	16Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Oct	32Hz	10.46	36.02	9.54	0.21	7.46	7.94	8.04
Oct	63Hz	0.69	0.08	9.55	6.99	21.30	21.70	23.92
Oct	125Hz	0.43	0.06	9.56	10.40	20.13	21.50	25.54
Oct	250Hz	0.61	0.02	9.59	16.35	17.47	19.52	22.45
Oct	500Hz	0.59	0.01	9.66	15.46	17.48	19.11	22.54
Oct	1kHz	0.59	0.01	9.60	19.67	21.59	22.91	26.51
Oct	2kHz	0.51	0.01	9.59	20.53	22.46	23.91	27.38
Oct	4kHz	0.50	0.01	9.80	19.52	21.82	22.92	26.90
Oct	8kHz	0.38	0.01	9.56	21.13	24.06	25.59	31.38
Oct	16kHz	0.29	0.01	9.55	21.09	24.83	26.48	34.84
1/3	13Hz	5.87	5.71	9.54	0.00	0.00	0.00	0.00
1/3	16Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	20Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	25Hz	9.06	7.88	9.54	-8.54	-1.99	0.97	4.81
1/3	32Hz	0.62	1.10	9.55	-9.36	-2.20	-0.81	1.17
1/3	40Hz	7.50	22.55	9.54	-6.91	1.89	4.96	6.65
1/3	50Hz	8.56	0.26	9.55	-2.90	6.33	11.04	13.04
1/3	63Hz	4.56	0.21	9.55	-1.63	9.83	15.34	18.68
1/3	80Hz	0.45	0.15	9.54	-0.15	13.97	14.84	21.21
1/3	100Hz	0.30	0.13	9.57	1.35	15.17	16.18	26.35
1/3	125Hz	0.43	0.10	9.55	3.59	20.19	26.74	28.30
1/3	160Hz	0.46	0.08	9.57	6.46	17.28	18.48	22.66
1/3	200Hz	0.60	0.06	9.57	9.73	16.87	19.03	20.43
1/3	250Hz	0.62	0.05	9.59	11.87	17.06	20.11	21.80
1/3	315Hz	0.61	0.04	9.55	11.14	13.58	15.23	19.93
1/3	400Hz	0.63	0.04	9.56	11.89	16.32	17.27	20.39
1/3	500Hz	0.53	0.03	9.54	11.48	15.61	17.65	21.69
1/3	630Hz	0.60	0.02	9.58	15.51	19.29	21.35	23.95
1/3	800Hz	0.64	0.04	9.54	15.99	19.10	21.46	24.00
1/3	1kHz	0.64	0.02	9.63	17.32	19.89	21.23	23.86
1/3	1.3kHz	0.57	0.01	9.70	19.91	21.59	22.69	27.03
1/3	1.6kHz	0.51	0.01	9.68	17.12	18.90	20.57	24.40
1/3	2kHz	0.57	0.01	9.58	17.85	20.15	21.54	25.13
1/3	2.5kHz	0.54	0.01	10.21	22.95	24.68	25.83	28.74
1/3	3.2kHz	0.53	0.01	9.88	19.14	20.85	21.78	26.06
1/3	4kHz	0.51	0.00	9.56	18.43	21.25	22.32	26.27
1/3	5kHz	0.50	0.00	9.95	21.34	23.69	24.92	28.80
1/3	6.3kHz	0.45	0.00	9.75	21.82	24.44	25.84	30.58
1/3	8kHz	0.41	0.00	9.61	21.00	23.47	24.84	30.34
1/3	10kHz	0.33	0.00	9.61	20.62	24.09	25.70	32.60
1/3	12.5kHz	0.30	0.01	9.80	19.65	23.02	24.64	32.14
1/3	16kHz	0.31	0.00	10.03	22.28	26.17	27.91	37.34
1/3	20kHz	0.27	0.01	9.56	21.72	26.43	28.60	37.83
