Date	Tue Jul 15 18:28:14 2025

%Alcons (S)	3.64
%Alcons (L)	4.66
Bass Ratio	0.92
T Low	0.56
T Mid	0.62
CIS	0.84

		125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz
STI	0.70	0.77	0.75	0.72	0.65	0.67	0.71	0.75
STIPA(IR)	0.71	0.75	0.78	0.83	0.60	0.69	0.81	0.61
EQ	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Noise	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

Filter	Band	RT60	EDT	D/R	C10	C35	C50	C80
		0.56	0.46	9.54	-1.25	4.42	6.92	11.29
Oct	16Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Oct	32Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Oct	63Hz	0.71	0.72	9.54	-3.61	1.03	1.86	4.81
Oct	125Hz	0.51	0.58	9.54	0.13	4.82	5.24	9.28
Oct	250Hz	0.62	0.54	9.55	-0.63	4.67	6.80	11.26
Oct	500Hz	0.60	0.51	9.55	-1.74	4.58	5.99	10.66
Oct	1kHz	0.63	0.52	9.54	-1.00	3.16	6.15	10.43
Oct	2kHz	0.60	0.54	9.54	-1.63	3.28	5.87	9.72
Oct	4kHz	0.52	0.50	9.54	-2.53	2.63	5.68	9.89
Oct	8kHz	0.43	0.43	9.54	-3.66	3.36	6.55	11.32
Oct	16kHz	0.33	0.32	9.54	-5.65	5.04	8.15	14.35
1/3	13Hz	8.45	15.17	9.54	0.00	0.00	0.00	0.00
1/3	16Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	20Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	25Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	32Hz	8.97	14.81	9.54	-16.72	-10.76	-10.00	-9.71
1/3	40Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	50Hz	1.17	1.04	9.55	-6.72	-0.74	1.06	2.64
1/3	63Hz	3.81	0.82	9.54	-3.02	2.87	3.56	6.45
1/3	80Hz	0.68	0.73	9.54	-8.35	-1.33	1.20	5.16
1/3	100Hz	0.42	0.58	9.55	-4.91	0.09	2.04	9.02
1/3	125Hz	0.46	0.67	9.55	-1.17	5.52	6.20	7.84
1/3	160Hz	0.64	0.50	9.55	-0.03	2.57	5.30	10.48
1/3	200Hz	0.73	0.45	9.55	0.48	4.54	7.28	12.44
1/3	250Hz	0.56	0.61	9.54	-0.49	3.05	5.51	10.04
1/3	315Hz	0.68	0.51	9.54	-0.33	3.98	6.20	11.91
1/3	400Hz	0.65	0.58	9.55	-3.42	3.51	5.06	8.08
1/3	500Hz	0.54	0.36	9.54	-1.92	5.70	8.69	11.54
1/3	630Hz	0.59	0.54	9.55	-3.48	2.66	4.40	11.20
1/3	800Hz	0.66	0.77	9.54	-0.60	3.30	4.17	7.37
1/3	1kHz	0.63	0.50	9.54	-1.65	2.59	5.77	10.82
1/3	1.3kHz	0.62	0.48	9.55	-1.59	2.81	6.68	10.77
1/3	1.6kHz	0.63	0.51	9.55	-1.28	3.89	6.19	10.11
1/3	2kHz	0.62	0.50	9.55	-3.79	2.96	5.53	9.40
1/3	2.5kHz	0.56	0.63	9.55	-2.61	2.00	4.53	8.47
1/3	3.2kHz	0.51	0.52	9.54	-3.45	1.55	4.78	8.98
1/3	4kHz	0.55	0.49	9.55	-5.47	1.36	5.07	9.05
1/3	5kHz	0.52	0.49	9.55	-4.02	2.30	5.27	9.98
1/3	6.3kHz	0.46	0.49	9.54	-0.76	3.63	6.48	11.05
1/3	8kHz	0.44	0.43	9.56	-4.99	3.04	6.27	11.20
1/3	10kHz	0.38	0.40	9.55	-4.34	3.70	7.01	11.75
1/3	12.5kHz	0.34	0.33	9.54	-7.26	4.50	7.78	13.39
1/3	16kHz	0.27	0.32	9.55	-3.87	5.88	8.70	15.93
1/3	20kHz	0.25	0.26	9.55	-1.71	8.36	11.91	19.89
