Date	Tue Jul 15 18:32:51 2025

%Alcons (S)	3.38
%Alcons (L)	4.34
Bass Ratio	1.08
T Low	0.66
T Mid	0.61
CIS	0.87

		125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz
STI	0.75	0.76	0.73	0.77	0.65	0.70	0.82	0.87
STIPA(IR)	0.76	0.74	0.77	0.86	0.61	0.71	0.88	0.80
EQ	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Noise	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

Filter	Band	RT60	EDT	D/R	C10	C35	C50	C80
		0.56	0.35	9.55	4.12	8.57	10.72	14.05
Oct	16Hz	2.34	0.69	9.54	0.75	5.26	8.32	8.94
Oct	32Hz	0.93	0.70	9.54	-0.27	2.51	5.49	8.52
Oct	63Hz	0.90	1.01	9.55	-2.51	5.61	5.75	7.11
Oct	125Hz	0.64	0.46	9.54	-6.30	4.61	6.96	9.33
Oct	250Hz	0.69	0.77	9.55	-2.24	2.49	5.47	6.65
Oct	500Hz	0.59	0.58	9.54	-1.70	4.33	6.01	9.20
Oct	1kHz	0.64	0.52	9.55	0.26	4.70	6.49	9.96
Oct	2kHz	0.61	0.55	9.54	0.77	4.90	6.67	10.11
Oct	4kHz	0.55	0.41	9.55	3.19	7.45	9.57	12.77
Oct	8kHz	0.45	0.30	9.55	4.57	9.22	11.78	15.59
Oct	16kHz	0.34	0.17	9.56	6.36	11.83	15.01	20.13
1/3	13Hz	5.55	1.06	9.54	0.00	0.00	0.00	0.00
1/3	16Hz	12.39	3.66	9.54	0.00	0.00	0.00	0.00
1/3	20Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	25Hz	15.21	11.78	9.54	0.00	0.00	0.00	0.00
1/3	32Hz	20.24	0.44	9.54	-6.56	3.10	6.16	9.56
1/3	40Hz	1.42	0.99	9.54	-5.20	0.95	1.25	2.78
1/3	50Hz	2.25	0.99	9.54	-7.17	-0.76	0.90	3.03
1/3	63Hz	0.90	1.13	9.54	-5.07	0.91	1.87	2.34
1/3	80Hz	1.13	0.44	9.54	-1.96	7.67	8.15	11.24
1/3	100Hz	0.75	0.24	9.55	-1.46	8.14	12.96	17.07
1/3	125Hz	0.60	0.53	9.54	-3.30	2.87	4.36	9.28
1/3	160Hz	0.65	0.62	9.54	-2.46	3.65	5.65	7.90
1/3	200Hz	0.66	0.86	9.54	-0.99	2.35	4.76	6.09
1/3	250Hz	0.61	0.98	9.55	0.64	2.64	4.57	5.25
1/3	315Hz	0.77	0.56	9.54	-4.46	2.41	5.09	7.54
1/3	400Hz	0.65	0.59	9.56	-6.48	2.81	5.43	7.18
1/3	500Hz	0.53	0.61	9.55	-1.26	4.71	5.62	9.69
1/3	630Hz	0.59	0.53	9.54	0.93	5.88	7.05	10.69
1/3	800Hz	0.62	0.53	9.54	1.74	6.29	7.66	10.13
1/3	1kHz	0.67	0.61	9.55	1.16	3.86	6.63	9.25
1/3	1.3kHz	0.66	0.46	9.54	-4.66	2.87	5.50	10.97
1/3	1.6kHz	0.63	0.51	9.54	-2.67	2.60	4.34	9.36
1/3	2kHz	0.62	0.66	9.55	1.26	5.45	6.38	9.12
1/3	2.5kHz	0.57	0.57	9.54	0.98	4.94	7.29	9.95
1/3	3.2kHz	0.59	0.44	9.54	4.42	7.78	10.02	12.78
1/3	4kHz	0.55	0.47	9.54	2.10	6.41	8.19	11.66
1/3	5kHz	0.52	0.40	9.54	2.03	6.82	9.28	12.61
1/3	6.3kHz	0.49	0.34	9.56	3.96	8.37	10.65	14.42
1/3	8kHz	0.45	0.34	9.54	4.83	8.93	11.56	15.20
1/3	10kHz	0.40	0.24	9.56	5.01	10.02	12.78	16.73
1/3	12.5kHz	0.35	0.18	9.55	5.35	11.13	14.47	19.53
1/3	16kHz	0.29	0.15	9.55	6.28	11.69	14.72	20.05
1/3	20kHz	0.27	0.14	9.63	7.28	14.00	16.53	23.00
