Date	Tue Jul 15 18:34:32 2025

%Alcons (S)	4.50
%Alcons (L)	5.70
Bass Ratio	1.14
T Low	0.72
T Mid	0.63
CIS	0.80

		125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz
STI	0.63	0.70	0.62	0.65	0.57	0.62	0.65	0.71
STIPA(IR)	0.66	0.67	0.68	0.81	0.52	0.64	0.77	0.55
EQ	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Noise	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

Filter	Band	RT60	EDT	D/R	C10	C35	C50	C80
		0.65	0.60	9.55	-5.11	0.82	3.44	7.20
Oct	16Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Oct	32Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Oct	63Hz	0.74	0.61	9.54	-3.42	-1.88	-0.83	7.50
Oct	125Hz	0.73	0.64	9.55	-4.59	1.50	3.09	6.15
Oct	250Hz	0.71	0.65	9.55	-8.08	-1.88	1.49	6.49
Oct	500Hz	0.59	0.62	9.55	-6.20	0.62	2.76	6.83
Oct	1kHz	0.67	0.68	9.55	-4.87	0.38	2.97	6.31
Oct	2kHz	0.63	0.66	9.55	-7.66	0.95	3.20	6.47
Oct	4kHz	0.55	0.63	9.54	-6.04	0.25	2.48	6.87
Oct	8kHz	0.47	0.52	9.55	-5.49	0.89	3.47	8.60
Oct	16kHz	0.34	0.40	9.56	-2.70	3.92	6.60	12.76
1/3	13Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	16Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	20Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	25Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	32Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	40Hz	1.88	0.49	9.55	-7.55	1.07	4.66	8.81
1/3	50Hz	0.73	0.69	9.54	-6.64	0.51	3.71	7.26
1/3	63Hz	0.64	0.78	9.54	-7.78	-3.13	-1.84	2.60
1/3	80Hz	1.03	0.62	9.55	-4.11	-0.81	0.80	10.00
1/3	100Hz	0.73	0.69	9.55	-2.65	2.06	3.22	7.91
1/3	125Hz	0.50	0.95	9.55	-3.20	-0.52	0.90	3.12
1/3	160Hz	0.62	0.98	9.54	-0.90	1.23	1.43	2.98
1/3	200Hz	0.86	0.97	9.54	-8.33	-6.82	-5.44	0.14
1/3	250Hz	0.71	0.67	9.54	-8.00	-4.36	-2.12	5.02
1/3	315Hz	0.70	0.76	9.55	-2.00	0.26	4.03	6.19
1/3	400Hz	0.64	0.58	9.54	-5.64	-2.78	1.20	7.56
1/3	500Hz	0.52	0.58	9.54	-6.79	-0.69	1.51	7.42
1/3	630Hz	0.57	0.69	9.54	-5.40	0.89	2.52	5.40
1/3	800Hz	0.68	0.76	9.55	-3.70	-0.74	2.20	6.17
1/3	1kHz	0.67	0.73	9.55	-4.81	0.27	2.60	5.05
1/3	1.3kHz	0.65	0.75	9.55	-4.05	1.78	3.47	6.41
1/3	1.6kHz	0.67	0.69	9.55	-3.23	3.51	4.42	7.06
1/3	2kHz	0.64	0.69	9.54	-6.14	0.41	2.66	6.47
1/3	2.5kHz	0.59	0.69	9.54	-7.04	-0.61	1.28	5.24
1/3	3.2kHz	0.57	0.73	9.56	-3.42	1.30	3.27	6.71
1/3	4kHz	0.55	0.62	9.54	-7.39	-0.63	2.05	6.11
1/3	5kHz	0.54	0.57	9.55	-5.44	1.64	4.30	7.85
1/3	6.3kHz	0.52	0.51	9.54	-6.52	0.47	3.99	8.62
1/3	8kHz	0.45	0.56	9.56	-4.70	1.47	3.60	8.22
1/3	10kHz	0.41	0.49	9.54	-4.84	0.60	3.70	9.52
1/3	12.5kHz	0.35	0.40	9.55	-4.04	3.16	6.56	12.15
1/3	16kHz	0.30	0.37	9.54	-1.64	5.32	7.97	15.05
1/3	20kHz	0.28	0.29	9.55	-1.10	7.66	10.85	17.67
