Date	Tue Jul 15 18:33:43 2025

%Alcons (S)	4.20
%Alcons (L)	5.32
Bass Ratio	0.99
T Low	0.64
T Mid	0.64
CIS	0.81

		125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz
STI	0.65	0.68	0.67	0.70	0.60	0.62	0.65	0.72
STIPA(IR)	0.67	0.61	0.71	0.82	0.54	0.64	0.77	0.58
EQ	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Noise	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

Filter	Band	RT60	EDT	D/R	C10	C35	C50	C80
		0.58	0.55	9.54	-5.35	1.77	4.10	8.23
Oct	16Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Oct	32Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Oct	63Hz	0.86	0.77	9.55	-1.23	4.33	4.73	8.76
Oct	125Hz	0.59	0.67	9.54	-4.11	-0.04	1.21	9.02
Oct	250Hz	0.68	0.76	9.55	-3.80	1.94	3.04	6.55
Oct	500Hz	0.63	0.60	9.55	-5.08	2.80	3.95	7.89
Oct	1kHz	0.65	0.66	9.54	-6.92	0.89	2.81	6.26
Oct	2kHz	0.60	0.62	9.55	-6.45	0.07	2.48	6.66
Oct	4kHz	0.55	0.61	9.55	-5.87	0.14	2.31	7.12
Oct	8kHz	0.47	0.51	9.55	-5.42	2.12	4.62	8.88
Oct	16kHz	0.37	0.36	9.54	-4.07	4.77	7.67	13.37
1/3	13Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	16Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	20Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	25Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	32Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	40Hz	24.95	31.26	9.54	0.00	0.00	0.00	0.00
1/3	50Hz	1.81	0.95	9.54	-7.58	-1.68	-0.82	1.21
1/3	63Hz	0.98	1.06	9.54	-8.84	-5.73	-5.26	-0.45
1/3	80Hz	0.80	0.34	9.54	-2.30	8.02	9.15	11.39
1/3	100Hz	0.67	0.57	9.54	-0.84	4.68	6.12	9.39
1/3	125Hz	0.59	0.66	9.55	-5.36	-1.04	0.05	7.65
1/3	160Hz	0.66	0.90	9.54	1.50	6.94	7.30	8.36
1/3	200Hz	0.73	0.95	9.54	-0.88	0.07	1.67	4.65
1/3	250Hz	0.67	0.78	9.54	-7.94	2.11	4.46	6.71
1/3	315Hz	0.67	0.74	9.55	-3.30	1.46	3.37	5.99
1/3	400Hz	0.62	0.63	9.54	-4.90	0.98	4.32	7.70
1/3	500Hz	0.57	0.85	9.54	-2.29	0.83	3.31	5.51
1/3	630Hz	0.67	0.50	9.54	-5.90	3.47	6.59	9.97
1/3	800Hz	0.65	0.61	9.54	-2.88	0.18	2.59	7.85
1/3	1kHz	0.65	0.82	9.55	-7.61	-1.12	0.50	4.11
1/3	1.3kHz	0.65	0.66	9.54	-4.39	0.58	3.28	6.43
1/3	1.6kHz	0.62	0.60	9.54	-7.47	1.97	3.55	7.20
1/3	2kHz	0.58	0.64	9.54	-6.94	-0.01	1.42	5.80
1/3	2.5kHz	0.57	0.65	9.55	-6.31	-2.27	1.80	6.45
1/3	3.2kHz	0.57	0.61	9.54	-4.79	0.24	2.50	7.69
1/3	4kHz	0.54	0.61	9.55	-5.24	0.40	3.42	7.39
1/3	5kHz	0.53	0.63	9.55	-5.90	-0.86	1.78	6.75
1/3	6.3kHz	0.51	0.56	9.54	-7.09	0.50	3.26	7.28
1/3	8kHz	0.46	0.58	9.55	-4.76	1.84	4.04	7.98
1/3	10kHz	0.42	0.44	9.55	-5.74	3.21	5.91	10.70
1/3	12.5kHz	0.36	0.39	9.55	-4.12	4.02	6.97	12.41
1/3	16kHz	0.30	0.34	9.55	-0.61	5.75	9.32	15.60
1/3	20kHz	0.78	0.25	9.54	0.55	8.59	11.50	17.36
