Date	Tue Jul 15 18:32:06 2025

%Alcons (S)	4.18
%Alcons (L)	5.32
Bass Ratio	1.06
T Low	0.67
T Mid	0.63
CIS	0.79

		125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz
STI	0.61	0.62	0.67	0.66	0.58	0.52	0.68	0.72
STIPA(IR)	0.63	0.55	0.72	0.80	0.51	0.56	0.80	0.56
EQ	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Noise	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

Filter	Band	RT60	EDT	D/R	C10	C35	C50	C80
		0.62	0.55	9.54	-5.33	1.33	4.11	8.12
Oct	16Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Oct	32Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Oct	63Hz	0.81	0.37	9.56	-0.04	5.74	8.70	13.34
Oct	125Hz	0.70	0.58	9.54	-6.95	-3.24	1.45	6.21
Oct	250Hz	0.64	0.72	9.55	-2.03	1.90	3.41	7.50
Oct	500Hz	0.60	0.56	9.54	-5.02	2.03	3.68	7.93
Oct	1kHz	0.65	0.61	9.55	-6.77	0.18	3.41	6.87
Oct	2kHz	0.63	0.66	9.55	-5.17	0.25	2.53	6.20
Oct	4kHz	0.56	0.56	9.55	-5.29	0.88	4.15	7.86
Oct	8kHz	0.47	0.46	9.54	-6.44	1.77	4.35	9.77
Oct	16kHz	0.35	0.36	9.55	-2.20	4.72	8.26	14.15
1/3	13Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	16Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	20Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	25Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	32Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	40Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	50Hz	1.61	0.32	9.54	-3.57	5.00	8.87	9.95
1/3	63Hz	0.61	0.44	9.54	-2.69	5.34	6.70	11.24
1/3	80Hz	0.80	0.28	9.55	-4.27	5.97	9.99	12.64
1/3	100Hz	0.69	0.74	9.54	-6.95	-0.85	1.05	4.90
1/3	125Hz	0.52	0.62	9.55	-5.22	1.22	3.44	7.11
1/3	160Hz	0.99	0.63	9.54	-1.36	3.45	6.96	8.07
1/3	200Hz	0.68	0.80	9.55	1.52	3.75	5.27	7.77
1/3	250Hz	0.70	0.88	9.55	2.25	4.03	5.72	7.78
1/3	315Hz	0.63	0.74	9.55	-4.80	0.12	1.81	5.72
1/3	400Hz	0.57	0.66	9.55	-4.55	-2.01	-0.28	4.32
1/3	500Hz	0.58	0.68	9.54	-4.93	2.11	4.00	7.00
1/3	630Hz	0.64	0.47	9.54	-3.52	4.09	5.79	9.55
1/3	800Hz	0.66	0.58	9.55	-4.07	0.50	2.87	7.75
1/3	1kHz	0.66	0.74	9.55	-5.62	1.04	2.15	5.93
1/3	1.3kHz	0.64	0.68	9.54	-4.00	1.85	3.10	6.10
1/3	1.6kHz	0.64	0.75	9.54	-4.23	0.27	2.21	5.02
1/3	2kHz	0.64	0.75	9.55	-6.22	0.04	1.69	5.39
1/3	2.5kHz	0.62	0.58	9.56	-8.07	-1.02	2.38	7.35
1/3	3.2kHz	0.56	0.59	9.54	-7.95	-0.03	2.00	7.34
1/3	4kHz	0.57	0.59	9.54	-2.92	1.51	3.87	8.23
1/3	5kHz	0.55	0.57	9.54	-5.65	2.60	4.26	8.05
1/3	6.3kHz	0.50	0.49	9.54	-6.79	1.50	4.20	9.04
1/3	8kHz	0.46	0.49	9.55	-5.13	1.60	4.36	9.10
1/3	10kHz	0.40	0.38	9.55	-4.09	3.07	6.79	11.90
1/3	12.5kHz	0.35	0.40	9.55	-2.90	3.45	6.83	13.37
1/3	16kHz	0.29	0.31	9.55	-1.43	5.60	9.95	16.48
1/3	20kHz	0.87	0.27	9.55	0.14	7.34	11.52	17.04
