Date	Tue Jul 15 18:35:45 2025

%Alcons (S)	3.84
%Alcons (L)	4.91
Bass Ratio	1.04
T Low	0.67
T Mid	0.64
CIS	0.83

		125Hz	250Hz	500Hz	1kHz	2kHz	4kHz	8kHz
STI	0.68	0.72	0.68	0.72	0.60	0.65	0.72	0.78
STIPA(IR)	0.70	0.69	0.73	0.84	0.56	0.67	0.83	0.66
EQ	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Noise	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

Filter	Band	RT60	EDT	D/R	C10	C35	C50	C80
		0.60	0.48	9.54	-0.61	4.59	7.06	11.29
Oct	16Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Oct	32Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Oct	63Hz	0.76	0.77	9.54	-0.06	3.46	4.39	7.75
Oct	125Hz	0.65	0.58	9.54	-3.06	2.97	3.91	8.57
Oct	250Hz	0.68	0.69	9.54	-4.84	2.33	3.58	7.88
Oct	500Hz	0.61	0.58	9.54	-3.82	2.09	4.28	8.28
Oct	1kHz	0.66	0.64	9.55	-5.46	2.43	4.14	7.57
Oct	2kHz	0.63	0.59	9.55	-2.58	2.23	4.89	8.30
Oct	4kHz	0.56	0.51	9.55	-2.57	2.76	5.34	9.78
Oct	8kHz	0.45	0.44	9.54	-1.40	4.84	7.41	12.60
Oct	16kHz	0.33	0.39	9.55	0.31	5.87	9.66	15.89
1/3	13Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	16Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	20Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	25Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	32Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	40Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	50Hz	0.44	0.91	9.54	-7.49	-1.28	0.76	3.11
1/3	63Hz	1.03	1.03	9.54	-2.96	3.30	3.95	5.62
1/3	80Hz	0.89	0.47	9.54	-3.26	5.64	7.58	9.89
1/3	100Hz	0.70	0.68	9.55	-0.74	2.95	5.40	8.03
1/3	125Hz	0.80	0.43	9.54	-1.64	2.37	7.66	10.03
1/3	160Hz	0.62	0.73	9.54	-2.18	0.38	1.14	6.82
1/3	200Hz	0.68	1.21	9.55	-7.24	-1.83	1.73	3.53
1/3	250Hz	0.67	0.54	9.54	-0.79	2.24	5.21	9.37
1/3	315Hz	0.75	0.95	9.55	-4.20	0.07	2.54	5.10
1/3	400Hz	0.61	0.53	9.54	-6.24	-0.13	4.59	8.33
1/3	500Hz	0.53	0.58	9.55	-2.22	2.80	4.72	8.90
1/3	630Hz	0.62	0.70	9.55	-3.10	2.42	2.96	7.00
1/3	800Hz	0.70	0.52	9.54	-3.14	6.39	7.34	9.89
1/3	1kHz	0.67	0.73	9.54	-7.26	0.06	1.74	5.30
1/3	1.3kHz	0.65	0.68	9.54	-5.45	1.31	3.53	7.06
1/3	1.6kHz	0.65	0.64	9.54	-4.25	0.84	3.07	6.84
1/3	2kHz	0.63	0.62	9.55	-3.21	1.67	4.39	7.50
1/3	2.5kHz	0.60	0.53	9.54	-2.45	2.75	6.11	9.37
1/3	3.2kHz	0.59	0.46	9.55	-5.86	2.99	5.20	9.41
1/3	4kHz	0.56	0.55	9.54	-1.88	2.29	4.82	9.85
1/3	5kHz	0.54	0.53	9.54	-1.22	3.06	5.63	10.04
1/3	6.3kHz	0.49	0.44	9.55	-2.56	4.57	6.85	11.29
1/3	8kHz	0.47	0.44	9.55	-1.12	5.39	7.55	12.34
1/3	10kHz	0.40	0.44	9.54	-1.46	4.57	7.43	13.63
1/3	12.5kHz	0.34	0.41	9.55	0.20	5.19	9.46	15.13
1/3	16kHz	0.29	0.36	9.54	0.96	7.10	10.41	17.18
1/3	20kHz	0.25	0.28	9.55	2.50	9.91	13.03	22.29
