Date	Tue Jul 15 13:29:47 2025

%Alcons (S)	2.82
%Alcons (L)	3.53
Bass Ratio	1.55
T Low	0.51
T Mid	0.33
CIS	0.00

	
STI	0.00
STIPA(IR)	0.00
EQ	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Noise	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

Filter	Band	RT60	EDT	D/R	C10	C35	C50	C80
		0.36	0.33	9.55	-0.04	6.53	9.55	14.90
Oct	16Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Oct	32Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Oct	63Hz	0.84	0.45	9.54	-1.10	3.97	6.42	13.04
Oct	125Hz	0.42	0.48	9.55	-0.76	3.82	7.04	11.99
Oct	250Hz	0.60	0.46	9.54	-1.29	5.57	6.40	11.23
Oct	500Hz	0.34	0.37	9.54	-0.61	4.58	9.34	15.22
Oct	1kHz	0.32	0.26	9.54	0.71	8.79	11.11	16.89
Oct	2kHz	0.36	0.33	9.55	0.84	7.14	9.70	14.75
Oct	4kHz	0.35	0.39	9.55	-0.46	4.79	8.34	13.36
Oct	8kHz	0.32	0.34	9.55	0.18	6.02	9.79	15.75
Oct	16kHz	0.27	0.25	9.55	-1.20	7.75	11.22	18.35
1/3	13Hz	1.37	2.78	9.54	-12.01	-9.18	-5.97	-4.28
1/3	16Hz	0.61	0.91	9.54	-8.35	-3.43	-1.83	1.98
1/3	20Hz	5.62	6.59	9.54	-12.36	-7.80	-7.07	-5.62
1/3	25Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	32Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	40Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	50Hz	2.47	0.66	9.54	-3.81	4.99	6.60	7.90
1/3	63Hz	0.44	0.38	9.54	-1.21	6.44	7.91	12.81
1/3	80Hz	0.60	0.33	9.54	-4.05	5.11	8.31	12.01
1/3	100Hz	0.48	0.51	9.55	0.15	6.34	7.26	12.42
1/3	125Hz	0.53	0.52	9.55	-6.01	-2.25	1.12	10.12
1/3	160Hz	0.52	0.59	9.54	-1.80	1.07	3.63	7.84
1/3	200Hz	1.05	0.52	9.54	0.92	3.69	6.36	10.84
1/3	250Hz	0.71	0.74	9.54	-0.66	5.03	5.52	7.90
1/3	315Hz	0.40	0.35	9.54	2.08	8.79	9.28	15.42
1/3	400Hz	0.40	0.23	9.55	-0.50	9.15	12.08	17.28
1/3	500Hz	0.37	0.41	9.54	-6.78	-0.42	6.42	15.57
1/3	630Hz	0.41	0.42	9.55	0.82	4.68	7.90	12.18
1/3	800Hz	0.36	0.20	9.54	4.61	10.32	11.88	17.76
1/3	1kHz	0.28	0.27	9.54	-0.63	8.88	11.48	18.55
1/3	1.3kHz	0.35	0.29	9.55	-1.91	7.48	9.85	15.10
1/3	1.6kHz	0.36	0.26	9.55	0.32	8.03	10.46	14.96
1/3	2kHz	0.35	0.43	9.56	0.49	4.63	7.65	12.73
1/3	2.5kHz	0.36	0.41	9.55	0.70	5.55	8.04	13.64
1/3	3.2kHz	0.38	0.44	9.55	-2.47	3.25	6.52	12.52
1/3	4kHz	0.36	0.35	9.55	-0.90	5.16	9.07	13.53
1/3	5kHz	0.35	0.41	9.54	-0.74	4.61	7.93	13.55
1/3	6.3kHz	0.33	0.37	9.55	-2.10	4.12	8.07	14.10
1/3	8kHz	0.32	0.33	9.58	0.35	5.79	10.54	15.76
1/3	10kHz	0.32	0.33	9.57	0.52	6.80	10.07	16.50
1/3	12.5kHz	0.28	0.29	9.54	2.11	8.23	11.67	18.20
1/3	16kHz	0.47	0.26	9.56	-2.05	7.48	11.18	17.54
1/3	20kHz	0.29	0.26	9.54	-0.62	8.01	11.85	16.21
