Date	Tue Jul 15 13:29:29 2025

%Alcons (S)	3.76
%Alcons (L)	4.83
Bass Ratio	1.03
T Low	0.51
T Mid	0.50
CIS	0.00

	
STI	0.00
STIPA(IR)	0.00
EQ	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Noise	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

Filter	Band	RT60	EDT	D/R	C10	C35	C50	C80
		0.38	0.30	9.54	-5.32	5.41	8.78	13.73
Oct	16Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Oct	32Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Oct	63Hz	0.43	0.39	9.54	-3.87	1.19	6.23	11.43
Oct	125Hz	0.55	0.33	9.54	-3.06	2.97	9.37	11.85
Oct	250Hz	0.47	0.29	9.55	-3.86	6.56	8.86	14.16
Oct	500Hz	0.42	0.36	9.55	-0.77	5.20	8.67	12.86
Oct	1kHz	0.57	0.37	9.54	-2.83	5.37	7.90	11.59
Oct	2kHz	0.70	0.40	9.55	-0.51	5.83	8.03	13.43
Oct	4kHz	0.75	0.32	9.55	0.68	7.35	10.46	14.15
Oct	8kHz	0.67	0.25	9.56	-6.14	7.01	9.80	15.27
Oct	16kHz	0.30	0.23	9.55	-4.85	7.63	10.94	15.67
1/3	13Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	16Hz	4.40	8.21	9.54	0.00	0.00	0.00	0.00
1/3	20Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	25Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	32Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	40Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	50Hz	0.78	0.29	9.55	-3.57	5.38	9.72	12.25
1/3	63Hz	0.44	0.16	9.55	0.47	11.24	11.67	15.84
1/3	80Hz	1.33	0.31	9.55	-3.91	5.83	8.86	11.69
1/3	100Hz	0.39	0.36	9.54	-5.11	3.56	7.13	12.33
1/3	125Hz	0.89	0.61	9.54	0.44	6.93	7.71	9.74
1/3	160Hz	0.74	0.42	9.55	0.15	3.95	8.02	11.29
1/3	200Hz	0.63	0.21	9.55	1.51	9.67	10.66	11.23
1/3	250Hz	0.58	0.32	9.55	2.10	6.98	10.35	13.84
1/3	315Hz	0.44	0.49	9.55	1.49	3.80	8.30	13.48
1/3	400Hz	0.39	0.42	9.54	0.43	3.42	8.15	11.53
1/3	500Hz	0.81	0.30	9.55	3.16	8.70	10.08	12.17
1/3	630Hz	0.30	0.41	9.54	-4.46	3.40	6.41	11.00
1/3	800Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	1kHz	0.69	0.37	9.54	1.18	7.67	9.06	11.69
1/3	1.3kHz	0.53	0.38	9.54	-1.45	6.13	8.44	12.51
1/3	1.6kHz	0.46	0.46	9.56	1.52	5.58	7.46	12.80
1/3	2kHz	0.68	0.38	9.54	-2.22	5.50	8.16	13.43
1/3	2.5kHz	0.42	0.39	9.54	-2.44	5.35	7.52	13.17
1/3	3.2kHz	0.37	0.32	9.54	-4.21	4.70	8.99	13.57
1/3	4kHz	0.39	0.29	9.54	1.67	8.55	11.29	14.73
1/3	5kHz	0.78	0.34	9.57	0.54	6.91	10.78	14.12
1/3	6.3kHz	0.44	0.35	9.55	0.50	6.26	9.02	13.37
1/3	8kHz	0.74	0.30	9.54	3.14	8.48	10.91	15.93
1/3	10kHz	0.38	0.25	9.54	-5.45	7.09	10.00	17.13
1/3	12.5kHz	0.44	0.26	9.55	-5.78	6.80	9.79	13.78
1/3	16kHz	0.24	0.21	9.57	-4.50	8.52	12.71	20.58
1/3	20kHz	0.62	0.20	9.54	-4.62	9.09	13.19	18.42
