Date	Tue Jul 15 13:29:16 2025

%Alcons (S)	2.87
%Alcons (L)	3.57
Bass Ratio	1.33
T Low	0.44
T Mid	0.33
CIS	0.00

	
STI	0.00
STIPA(IR)	0.00
EQ	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Noise	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00

Filter	Band	RT60	EDT	D/R	C10	C35	C50	C80
		0.34	0.24	9.55	3.45	9.76	12.65	18.07
Oct	16Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Oct	32Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Oct	63Hz	0.62	0.56	9.54	-4.34	3.01	5.03	8.30
Oct	125Hz	0.57	0.48	9.54	1.24	5.55	7.68	11.72
Oct	250Hz	0.31	0.38	9.54	-1.82	5.13	7.73	13.51
Oct	500Hz	0.32	0.26	9.54	1.14	8.32	11.88	17.06
Oct	1kHz	0.33	0.31	9.54	1.66	7.29	11.49	16.34
Oct	2kHz	0.35	0.33	9.55	-0.41	7.09	10.55	15.78
Oct	4kHz	0.36	0.27	9.55	1.61	8.03	10.72	15.82
Oct	8kHz	0.31	0.22	9.54	3.56	9.93	12.97	18.91
Oct	16kHz	0.25	0.21	9.57	4.69	12.03	15.56	22.64
1/3	13Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	16Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	20Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	25Hz	2.77	4.49	9.54	-15.00	-10.17	-8.40	-7.05
1/3	32Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	40Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	50Hz	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/3	63Hz	1.44	0.54	9.54	-2.06	7.31	8.90	9.25
1/3	80Hz	0.58	0.56	9.54	-4.83	3.13	5.09	8.45
1/3	100Hz	0.56	0.25	9.54	-2.15	8.65	9.80	16.95
1/3	125Hz	0.64	0.48	9.55	0.09	5.44	7.65	13.01
1/3	160Hz	0.73	0.36	9.55	1.48	7.88	9.10	13.06
1/3	200Hz	0.35	0.41	9.54	-0.94	4.13	7.57	14.71
1/3	250Hz	0.32	0.44	9.55	-0.55	2.41	6.92	10.76
1/3	315Hz	0.33	0.41	9.54	-5.30	6.84	7.69	14.17
1/3	400Hz	0.40	0.33	9.55	-0.56	5.45	11.09	14.63
1/3	500Hz	0.40	0.35	9.54	-3.56	5.61	7.91	15.11
1/3	630Hz	0.30	0.23	9.55	1.11	9.17	12.82	17.46
1/3	800Hz	0.37	0.32	9.56	0.71	6.53	12.39	15.45
1/3	1kHz	0.34	0.22	9.55	3.09	9.23	12.54	17.86
1/3	1.3kHz	0.33	0.39	9.55	0.39	5.94	9.96	14.91
1/3	1.6kHz	0.34	0.33	9.55	-1.64	6.27	10.90	16.21
1/3	2kHz	0.35	0.34	9.55	-0.92	6.61	9.54	14.66
1/3	2.5kHz	0.38	0.30	9.55	-1.72	7.03	9.96	15.29
1/3	3.2kHz	0.36	0.32	9.55	0.61	7.75	9.30	14.65
1/3	4kHz	0.35	0.28	9.55	3.09	8.15	11.30	16.42
1/3	5kHz	0.37	0.23	9.55	1.89	8.92	11.55	16.39
1/3	6.3kHz	0.31	0.29	9.54	2.72	8.29	11.86	18.10
1/3	8kHz	0.31	0.21	9.55	2.71	9.62	12.97	18.47
1/3	10kHz	0.30	0.23	9.55	3.84	10.25	12.85	19.17
1/3	12.5kHz	0.27	0.20	9.55	4.22	11.32	14.65	20.79
1/3	16kHz	0.23	0.20	9.54	3.46	11.44	15.36	23.41
1/3	20kHz	0.21	0.29	9.56	4.33	12.03	15.46	25.19
