position,Frequency_Hz,Magnitude_dB,Color,Phase_deg,STI,STI_Degradation_%
Std8-Ceiling,20.0,-24.21,#1f77b4,-94.65,0.5,47.37
Std8-Ceiling,20.71,-24.41,#1f77b4,-102.45,0.5,47.37
Std8-Ceiling,21.44,-25.11,#1f77b4,-129.64,0.5,47.37
Std8-Ceiling,22.2,-26.16,#1f77b4,73.73,0.5,47.37
Std8-Ceiling,22.98,-26.17,#1f77b4,45.92,0.5,47.37
Std8-Ceiling,23.79,-26.38,#1f77b4,137.7,0.5,47.37
Std8-Ceiling,24.63,-26.89,#1f77b4,-164.5,0.5,47.37
Std8-Ceiling,25.5,-26.93,#1f77b4,-178.45,0.5,47.37
Std8-Ceiling,26.4,-27.54,#1f77b4,93.71,0.5,47.37
Std8-Ceiling,27.33,-27.83,#1f77b4,-85.08,0.5,47.37
Std8-Ceiling,28.3,-28.18,#1f77b4,152.37,0.5,47.37
Std8-Ceiling,29.3,-28.03,#1f77b4,-120.05,0.5,47.37
Std8-Ceiling,30.33,-27.26,#1f77b4,-0.71,0.5,47.37
Std8-Ceiling,31.41,-26.65,#1f77b4,127.98,0.5,47.37
Std8-Ceiling,32.52,-26.67,#1f77b4,-120.13,0.5,47.37
Std8-Ceiling,33.66,-27.07,#1f77b4,-162.27,0.5,47.37
Std8-Ceiling,34.85,-25.65,#1f77b4,48.7,0.5,47.37
Std8-Ceiling,36.08,-25.22,#1f77b4,2.0,0.5,47.37
Std8-Ceiling,37.36,-24.6,#1f77b4,-112.85,0.5,47.37
Std8-Ceiling,38.68,-23.47,#1f77b4,-13.25,0.5,47.37
Std8-Ceiling,40.04,-22.9,#1f77b4,-54.83,0.5,47.37
Std8-Ceiling,41.46,-21.71,#1f77b4,145.45,0.5,47.37
Std8-Ceiling,42.92,-20.94,#1f77b4,15.6,0.5,47.37
Std8-Ceiling,44.44,-19.72,#1f77b4,-24.35,0.5,47.37
Std8-Ceiling,46.01,-18.57,#1f77b4,-10.28,0.5,47.37
Std8-Ceiling,47.63,-17.09,#1f77b4,-123.82,0.5,47.37
Std8-Ceiling,49.32,-15.39,#1f77b4,-116.87,0.5,47.37
Std8-Ceiling,51.06,-14.12,#1f77b4,-135.0,0.5,47.37
Std8-Ceiling,52.86,-12.63,#1f77b4,-16.26,0.5,47.37
Std8-Ceiling,54.73,-10.72,#1f77b4,-123.41,0.5,47.37
Std8-Ceiling,56.66,-9.58,#1f77b4,31.12,0.5,47.37
Std8-Ceiling,58.66,-8.3,#1f77b4,13.14,0.5,47.37
Std8-Ceiling,60.74,-6.64,#1f77b4,51.74,0.5,47.37
Std8-Ceiling,62.88,-6.14,#1f77b4,-135.86,0.5,47.37
Std8-Ceiling,65.1,-5.25,#1f77b4,-90.28,0.5,47.37
Std8-Ceiling,67.4,-4.79,#1f77b4,-62.79,0.5,47.37
Std8-Ceiling,69.78,-5.19,#1f77b4,44.67,0.5,47.37
Std8-Ceiling,72.25,-5.72,#1f77b4,92.76,0.5,47.37
Std8-Ceiling,74.8,-5.66,#1f77b4,174.98,0.5,47.37
Std8-Ceiling,77.44,-6.23,#1f77b4,-173.4,0.5,47.37
Std8-Ceiling,80.18,-5.87,#1f77b4,-16.93,0.5,47.37
Std8-Ceiling,83.01,-7.26,#1f77b4,-71.65,0.5,47.37
Std8-Ceiling,85.94,-8.15,#1f77b4,-142.36,0.5,47.37
Std8-Ceiling,88.98,-9.0,#1f77b4,75.55,0.5,47.37
Std8-Ceiling,92.12,-9.89,#1f77b4,34.94,0.5,47.37
Std8-Ceiling,95.37,-11.13,#1f77b4,-125.75,0.5,47.37
Std8-Ceiling,98.74,-11.38,#1f77b4,92.19,0.5,47.37
Std8-Ceiling,102.23,-12.28,#1f77b4,130.3,0.5,47.37
Std8-Ceiling,105.84,-13.04,#1f77b4,-73.86,0.5,47.37
Std8-Ceiling,109.58,-13.68,#1f77b4,-15.26,0.5,47.37
Std8-Ceiling,113.45,-14.15,#1f77b4,-130.23,0.5,47.37
Std8-Ceiling,117.46,-14.83,#1f77b4,-65.23,0.5,47.37
Std8-Ceiling,121.6,-14.88,#1f77b4,-96.54,0.5,47.37
Std8-Ceiling,125.9,-15.23,#1f77b4,-179.84,0.5,47.37
Std8-Ceiling,130.35,-14.98,#1f77b4,27.76,0.5,47.37
Std8-Ceiling,134.95,-15.01,#1f77b4,76.83,0.5,47.37
Std8-Ceiling,139.72,-15.91,#1f77b4,-71.57,0.5,47.37
Std8-Ceiling,144.65,-15.59,#1f77b4,160.84,0.5,47.37
Std8-Ceiling,149.76,-15.25,#1f77b4,114.74,0.5,47.37
Std8-Ceiling,155.05,-15.5,#1f77b4,-76.0,0.5,47.37
Std8-Ceiling,160.53,-15.35,#1f77b4,105.97,0.5,47.37
Std8-Ceiling,166.2,-15.17,#1f77b4,-32.55,0.5,47.37
Std8-Ceiling,172.07,-15.53,#1f77b4,-80.13,0.5,47.37
Std8-Ceiling,178.15,-15.35,#1f77b4,53.35,0.5,47.37
Std8-Ceiling,184.44,-15.67,#1f77b4,170.73,0.5,47.37
Std8-Ceiling,190.95,-15.64,#1f77b4,-71.01,0.5,47.37
Std8-Ceiling,197.7,-15.93,#1f77b4,8.76,0.5,47.37
Std8-Ceiling,204.68,-16.48,#1f77b4,77.37,0.5,47.37
Std8-Ceiling,211.91,-16.63,#1f77b4,-20.49,0.5,47.37
Std8-Ceiling,219.4,-16.85,#1f77b4,-149.17,0.5,47.37
Std8-Ceiling,227.15,-16.89,#1f77b4,-61.2,0.5,47.37
Std8-Ceiling,235.17,-17.49,#1f77b4,-103.78,0.5,47.37
Std8-Ceiling,243.48,-17.86,#1f77b4,-133.53,0.5,47.37
Std8-Ceiling,252.08,-18.1,#1f77b4,159.84,0.5,47.37
Std8-Ceiling,260.98,-18.45,#1f77b4,-143.74,0.5,47.37
Std8-Ceiling,270.2,-18.96,#1f77b4,76.37,0.5,47.37
Std8-Ceiling,279.74,-18.74,#1f77b4,-44.28,0.5,47.37
Std8-Ceiling,289.62,-19.13,#1f77b4,-165.78,0.5,47.37
Std8-Ceiling,299.85,-18.73,#1f77b4,60.85,0.5,47.37
Std8-Ceiling,310.45,-19.02,#1f77b4,63.41,0.5,47.37
Std8-Ceiling,321.41,-19.19,#1f77b4,-132.31,0.5,47.37
Std8-Ceiling,332.76,-19.01,#1f77b4,-2.31,0.5,47.37
Std8-Ceiling,344.52,-19.77,#1f77b4,-96.93,0.5,47.37
Std8-Ceiling,356.69,-19.51,#1f77b4,38.23,0.5,47.37
Std8-Ceiling,369.28,-19.34,#1f77b4,42.94,0.5,47.37
Std8-Ceiling,382.33,-19.82,#1f77b4,20.04,0.5,47.37
Std8-Ceiling,395.83,-20.16,#1f77b4,7.68,0.5,47.37
Std8-Ceiling,409.81,-19.65,#1f77b4,-154.02,0.5,47.37
Std8-Ceiling,424.29,-19.89,#1f77b4,-124.97,0.5,47.37
Std8-Ceiling,439.28,-20.08,#1f77b4,-141.83,0.5,47.37
Std8-Ceiling,454.79,-20.21,#1f77b4,-34.62,0.5,47.37
Std8-Ceiling,470.86,-20.59,#1f77b4,-151.28,0.5,47.37
Std8-Ceiling,487.49,-21.21,#1f77b4,129.96,0.5,47.37
Std8-Ceiling,504.71,-21.08,#1f77b4,-105.12,0.5,47.37
Std8-Ceiling,522.54,-21.45,#1f77b4,43.05,0.5,47.37
Std8-Ceiling,540.99,-21.15,#1f77b4,171.88,0.5,47.37
Std8-Ceiling,560.1,-21.85,#1f77b4,-64.68,0.5,47.37
Std8-Ceiling,579.88,-21.73,#1f77b4,0.05,0.5,47.37
Std8-Ceiling,600.37,-21.73,#1f77b4,53.97,0.5,47.37
Std8-Ceiling,621.57,-22.64,#1f77b4,-128.02,0.5,47.37
Std8-Ceiling,643.53,-22.07,#1f77b4,49.22,0.5,47.37
Std8-Ceiling,666.26,-22.26,#1f77b4,-153.95,0.5,47.37
Std8-Ceiling,689.79,-22.01,#1f77b4,37.82,0.5,47.37
Std8-Ceiling,714.16,-22.55,#1f77b4,-162.5,0.5,47.37
Std8-Ceiling,739.38,-22.89,#1f77b4,153.82,0.5,47.37
Std8-Ceiling,765.5,-22.81,#1f77b4,-42.88,0.5,47.37
Std8-Ceiling,792.54,-22.66,#1f77b4,144.0,0.5,47.37
Std8-Ceiling,820.53,-23.44,#1f77b4,26.35,0.5,47.37
Std8-Ceiling,849.51,-23.26,#1f77b4,-179.58,0.5,47.37
Std8-Ceiling,879.52,-23.27,#1f77b4,101.64,0.5,47.37
Std8-Ceiling,910.59,-22.97,#1f77b4,10.22,0.5,47.37
Std8-Ceiling,942.75,-23.77,#1f77b4,-117.78,0.5,47.37
Std8-Ceiling,976.05,-23.88,#1f77b4,0.32,0.5,47.37
Std8-Ceiling,1010.53,-24.31,#1f77b4,100.25,0.5,47.37
Std8-Ceiling,1046.22,-23.94,#1f77b4,-31.51,0.5,47.37
Std8-Ceiling,1083.17,-24.75,#1f77b4,-137.34,0.5,47.37
Std8-Ceiling,1121.43,-24.48,#1f77b4,163.61,0.5,47.37
Std8-Ceiling,1161.05,-24.79,#1f77b4,77.9,0.5,47.37
Std8-Ceiling,1202.06,-24.74,#1f77b4,69.62,0.5,47.37
Std8-Ceiling,1244.51,-24.84,#1f77b4,60.09,0.5,47.37
Std8-Ceiling,1288.47,-25.01,#1f77b4,-168.73,0.5,47.37
Std8-Ceiling,1333.98,-25.08,#1f77b4,-132.04,0.5,47.37
Std8-Ceiling,1381.1,-25.3,#1f77b4,139.67,0.5,47.37
Std8-Ceiling,1429.89,-25.45,#1f77b4,31.07,0.5,47.37
Std8-Ceiling,1480.39,-24.98,#1f77b4,-34.64,0.5,47.37
Std8-Ceiling,1532.68,-25.43,#1f77b4,-176.73,0.5,47.37
Std8-Ceiling,1586.82,-25.92,#1f77b4,8.94,0.5,47.37
Std8-Ceiling,1642.87,-26.33,#1f77b4,-79.13,0.5,47.37
Std8-Ceiling,1700.9,-26.4,#1f77b4,91.71,0.5,47.37
Std8-Ceiling,1760.98,-26.51,#1f77b4,-169.99,0.5,47.37
Std8-Ceiling,1823.18,-26.57,#1f77b4,-123.43,0.5,47.37
Std8-Ceiling,1887.58,-26.72,#1f77b4,-87.6,0.5,47.37
Std8-Ceiling,1954.25,-27.35,#1f77b4,-144.5,0.5,47.37
Std8-Ceiling,2023.28,-27.01,#1f77b4,-88.72,0.5,47.37
Std8-Ceiling,2094.74,-27.28,#1f77b4,106.16,0.5,47.37
Std8-Ceiling,2168.73,-26.9,#1f77b4,-101.2,0.5,47.37
Std8-Ceiling,2245.34,-27.86,#1f77b4,-138.44,0.5,47.37
Std8-Ceiling,2324.64,-27.57,#1f77b4,-96.91,0.5,47.37
Std8-Ceiling,2406.76,-27.83,#1f77b4,-70.66,0.5,47.37
Std8-Ceiling,2491.77,-27.79,#1f77b4,-33.05,0.5,47.37
Std8-Ceiling,2579.78,-27.65,#1f77b4,138.15,0.5,47.37
Std8-Ceiling,2670.9,-28.7,#1f77b4,126.06,0.5,47.37
Std8-Ceiling,2765.24,-28.31,#1f77b4,86.31,0.5,47.37
Std8-Ceiling,2862.92,-29.26,#1f77b4,39.63,0.5,47.37
Std8-Ceiling,2964.04,-28.05,#1f77b4,56.83,0.5,47.37
Std8-Ceiling,3068.74,-28.55,#1f77b4,37.77,0.5,47.37
Std8-Ceiling,3177.13,-29.22,#1f77b4,32.48,0.5,47.37
Std8-Ceiling,3289.35,-29.56,#1f77b4,46.11,0.5,47.37
Std8-Ceiling,3405.54,-29.11,#1f77b4,163.6,0.5,47.37
Std8-Ceiling,3525.83,-29.31,#1f77b4,-89.86,0.5,47.37
Std8-Ceiling,3650.37,-29.68,#1f77b4,-48.97,0.5,47.37
Std8-Ceiling,3779.3,-29.35,#1f77b4,175.53,0.5,47.37
Std8-Ceiling,3912.8,-29.64,#1f77b4,36.76,0.5,47.37
Std8-Ceiling,4051.0,-29.72,#1f77b4,77.94,0.5,47.37
Std8-Ceiling,4194.09,-29.96,#1f77b4,-142.1,0.5,47.37
Std8-Ceiling,4342.24,-30.03,#1f77b4,48.78,0.5,47.37
Std8-Ceiling,4495.61,-30.19,#1f77b4,13.12,0.5,47.37
Std8-Ceiling,4654.4,-29.81,#1f77b4,-140.9,0.5,47.37
Std8-Ceiling,4818.81,-30.06,#1f77b4,-27.36,0.5,47.37
Std8-Ceiling,4989.02,-30.26,#1f77b4,-163.34,0.5,47.37
Std8-Ceiling,5165.24,-29.8,#1f77b4,33.9,0.5,47.37
Std8-Ceiling,5347.68,-29.68,#1f77b4,97.63,0.5,47.37
Std8-Ceiling,5536.57,-29.81,#1f77b4,-9.96,0.5,47.37
Std8-Ceiling,5732.14,-30.17,#1f77b4,41.96,0.5,47.37
Std8-Ceiling,5934.6,-30.15,#1f77b4,-82.6,0.5,47.37
Std8-Ceiling,6144.23,-30.03,#1f77b4,-119.68,0.5,47.37
Std8-Ceiling,6361.25,-30.1,#1f77b4,86.4,0.5,47.37
Std8-Ceiling,6585.94,-29.9,#1f77b4,172.92,0.5,47.37
Std8-Ceiling,6818.57,-30.46,#1f77b4,-64.46,0.5,47.37
Std8-Ceiling,7059.41,-29.79,#1f77b4,-59.76,0.5,47.37
Std8-Ceiling,7308.77,-29.65,#1f77b4,77.28,0.5,47.37
Std8-Ceiling,7566.93,-30.0,#1f77b4,-82.21,0.5,47.37
Std8-Ceiling,7834.2,-29.94,#1f77b4,136.11,0.5,47.37
Std8-Ceiling,8110.92,-30.01,#1f77b4,60.27,0.5,47.37
Std8-Ceiling,8397.41,-29.5,#1f77b4,22.75,0.5,47.37
Std8-Ceiling,8694.03,-29.77,#1f77b4,-59.98,0.5,47.37
Std8-Ceiling,9001.12,-30.28,#1f77b4,-141.43,0.5,47.37
Std8-Ceiling,9319.05,-31.0,#1f77b4,-8.46,0.5,47.37
Std8-Ceiling,9648.22,-31.04,#1f77b4,150.9,0.5,47.37
Std8-Ceiling,9989.01,-30.82,#1f77b4,-152.27,0.5,47.37
Std8-Ceiling,10341.84,-31.14,#1f77b4,-64.76,0.5,47.37
Std8-Ceiling,10707.13,-30.96,#1f77b4,84.07,0.5,47.37
Std8-Ceiling,11085.33,-31.9,#1f77b4,-145.92,0.5,47.37
Std8-Ceiling,11476.88,-31.97,#1f77b4,176.12,0.5,47.37
Std8-Ceiling,11882.27,-32.0,#1f77b4,-125.57,0.5,47.37
Std8-Ceiling,12301.97,-31.38,#1f77b4,-45.58,0.5,47.37
Std8-Ceiling,12736.5,-32.5,#1f77b4,8.9,0.5,47.37
Std8-Ceiling,13186.38,-32.23,#1f77b4,-56.45,0.5,47.37
Std8-Ceiling,13652.14,-32.56,#1f77b4,96.11,0.5,47.37
Std8-Ceiling,14134.36,-32.32,#1f77b4,69.69,0.5,47.37
Std8-Ceiling,14633.61,-32.79,#1f77b4,27.67,0.5,47.37
Std8-Ceiling,15150.5,-32.48,#1f77b4,-3.21,0.5,47.37
Std8-Ceiling,15685.64,-32.99,#1f77b4,134.67,0.5,47.37
Std8-Ceiling,16239.69,-33.03,#1f77b4,119.16,0.5,47.37
Std8-Ceiling,16813.31,-32.87,#1f77b4,0.98,0.5,47.37
Std8-Ceiling,17407.18,-33.33,#1f77b4,87.79,0.5,47.37
Std8-Ceiling,18022.04,-33.56,#1f77b4,97.42,0.5,47.37
Std8-Ceiling,18658.61,-33.8,#1f77b4,-150.95,0.5,47.37
Std8-Ceiling,19317.66,-34.17,#1f77b4,87.8,0.5,47.37
Std8-Ceiling,20000.0,-35.45,#1f77b4,3.67,0.5,47.37
Std8-HostA,20.0,-17.84,#ff7f0e,64.43,0.95,0.0
Std8-HostA,20.71,-18.81,#ff7f0e,144.95,0.95,0.0
Std8-HostA,21.44,-19.43,#ff7f0e,138.95,0.95,0.0
Std8-HostA,22.2,-19.64,#ff7f0e,-43.04,0.95,0.0
Std8-HostA,22.98,-20.55,#ff7f0e,14.18,0.95,0.0
Std8-HostA,23.79,-21.16,#ff7f0e,4.76,0.95,0.0
Std8-HostA,24.63,-21.14,#ff7f0e,-159.55,0.95,0.0
Std8-HostA,25.5,-21.47,#ff7f0e,101.15,0.95,0.0
Std8-HostA,26.4,-21.44,#ff7f0e,7.23,0.95,0.0
Std8-HostA,27.33,-22.15,#ff7f0e,-33.77,0.95,0.0
