position,Frequency_Hz,Magnitude_dB,Color,Phase_deg,STI,STI_Degradation_%
TheHub-MidRoom,20.0,-33.77,#9467bd,-179.8,0.79,16.46
TheHub-MidRoom,20.71,-32.6,#9467bd,-179.79,0.79,16.46
TheHub-MidRoom,21.44,-31.08,#9467bd,-179.79,0.79,16.46
TheHub-MidRoom,22.2,-29.77,#9467bd,-179.78,0.79,16.46
TheHub-MidRoom,22.98,-28.17,#9467bd,-179.77,0.79,16.46
TheHub-MidRoom,23.79,-27.36,#9467bd,-179.76,0.79,16.46
TheHub-MidRoom,24.63,-24.82,#9467bd,-179.75,0.79,16.46
TheHub-MidRoom,25.5,-23.3,#9467bd,-179.74,0.79,16.46
TheHub-MidRoom,26.4,-23.12,#9467bd,-179.74,0.79,16.46
TheHub-MidRoom,27.33,-20.93,#9467bd,-179.73,0.79,16.46
TheHub-MidRoom,28.3,-21.0,#9467bd,-179.72,0.79,16.46
TheHub-MidRoom,29.3,-18.93,#9467bd,-179.71,0.79,16.46
TheHub-MidRoom,30.33,-17.16,#9467bd,-179.7,0.79,16.46
TheHub-MidRoom,31.41,-16.48,#9467bd,-179.69,0.79,16.46
TheHub-MidRoom,32.52,-15.34,#9467bd,-179.67,0.79,16.46
TheHub-MidRoom,33.66,-13.43,#9467bd,-179.66,0.79,16.46
TheHub-MidRoom,34.85,-14.18,#9467bd,-179.65,0.79,16.46
TheHub-MidRoom,36.08,-12.95,#9467bd,-179.64,0.79,16.46
TheHub-MidRoom,37.36,-11.41,#9467bd,-179.63,0.79,16.46
TheHub-MidRoom,38.68,-11.04,#9467bd,-179.61,0.79,16.46
TheHub-MidRoom,40.04,-10.12,#9467bd,-179.6,0.79,16.46
TheHub-MidRoom,41.46,-9.87,#9467bd,-179.59,0.79,16.46
TheHub-MidRoom,42.92,-9.24,#9467bd,-179.57,0.79,16.46
TheHub-MidRoom,44.44,-9.28,#9467bd,-179.56,0.79,16.46
TheHub-MidRoom,46.01,-9.24,#9467bd,-179.54,0.79,16.46
TheHub-MidRoom,47.63,-8.01,#9467bd,-179.52,0.79,16.46
TheHub-MidRoom,49.32,-8.71,#9467bd,-179.51,0.79,16.46
TheHub-MidRoom,51.06,-8.85,#9467bd,-179.49,0.79,16.46
TheHub-MidRoom,52.86,-8.78,#9467bd,-179.47,0.79,16.46
TheHub-MidRoom,54.73,-8.68,#9467bd,-179.45,0.79,16.46
TheHub-MidRoom,56.66,-9.49,#9467bd,-179.43,0.79,16.46
TheHub-MidRoom,58.66,-10.23,#9467bd,-179.41,0.79,16.46
TheHub-MidRoom,60.74,-10.25,#9467bd,-179.39,0.79,16.46
TheHub-MidRoom,62.88,-10.85,#9467bd,-179.37,0.79,16.46
TheHub-MidRoom,65.1,-11.47,#9467bd,-179.35,0.79,16.46
TheHub-MidRoom,67.4,-12.8,#9467bd,-179.33,0.79,16.46
TheHub-MidRoom,69.78,-12.69,#9467bd,-179.3,0.79,16.46
TheHub-MidRoom,72.25,-13.31,#9467bd,-179.28,0.79,16.46
TheHub-MidRoom,74.8,-14.5,#9467bd,-179.25,0.79,16.46
TheHub-MidRoom,77.44,-14.38,#9467bd,-179.23,0.79,16.46
TheHub-MidRoom,80.18,-13.78,#9467bd,-179.2,0.79,16.46
TheHub-MidRoom,83.01,-13.7,#9467bd,-179.17,0.79,16.46
TheHub-MidRoom,85.94,-13.66,#9467bd,-179.14,0.79,16.46
TheHub-MidRoom,88.98,-12.73,#9467bd,-179.11,0.79,16.46
TheHub-MidRoom,92.12,-11.2,#9467bd,-179.08,0.79,16.46
TheHub-MidRoom,95.37,-11.03,#9467bd,-179.05,0.79,16.46
TheHub-MidRoom,98.74,-9.7,#9467bd,-179.01,0.79,16.46
TheHub-MidRoom,102.23,-9.66,#9467bd,-178.98,0.79,16.46
TheHub-MidRoom,105.84,-10.4,#9467bd,-178.94,0.79,16.46
TheHub-MidRoom,109.58,-10.33,#9467bd,-178.9,0.79,16.46
TheHub-MidRoom,113.45,-10.86,#9467bd,-178.87,0.79,16.46
TheHub-MidRoom,117.46,-10.9,#9467bd,-178.83,0.79,16.46
TheHub-MidRoom,121.6,-12.71,#9467bd,-178.78,0.79,16.46
