position,Frequency_Hz,Magnitude_dB,Color,Phase_deg,STI,STI_Degradation_%
TheHub-MidRoom,20.0,-33.77,#9467bd,-179.8,0.79,16.46
TheHub-MidRoom,21.44,-31.08,#9467bd,-179.79,0.79,16.46
TheHub-MidRoom,22.98,-28.17,#9467bd,-179.77,0.79,16.46
TheHub-MidRoom,24.63,-24.82,#9467bd,-179.75,0.79,16.46
TheHub-MidRoom,26.4,-23.12,#9467bd,-179.74,0.79,16.46
TheHub-MidRoom,28.3,-21.0,#9467bd,-179.72,0.79,16.46
TheHub-MidRoom,30.33,-17.16,#9467bd,-179.7,0.79,16.46
TheHub-MidRoom,32.52,-15.34,#9467bd,-179.67,0.79,16.46
TheHub-MidRoom,34.85,-14.18,#9467bd,-179.65,0.79,16.46
TheHub-MidRoom,37.36,-11.41,#9467bd,-179.63,0.79,16.46
TheHub-MidRoom,40.04,-10.12,#9467bd,-179.6,0.79,16.46
TheHub-MidRoom,42.92,-9.24,#9467bd,-179.57,0.79,16.46
TheHub-MidRoom,46.01,-9.24,#9467bd,-179.54,0.79,16.46
TheHub-MidRoom,49.32,-8.71,#9467bd,-179.51,0.79,16.46
TheHub-MidRoom,52.86,-8.78,#9467bd,-179.47,0.79,16.46
TheHub-MidRoom,56.66,-9.49,#9467bd,-179.43,0.79,16.46
TheHub-MidRoom,60.74,-10.25,#9467bd,-179.39,0.79,16.46
TheHub-MidRoom,65.1,-11.47,#9467bd,-179.35,0.79,16.46
TheHub-MidRoom,69.78,-12.69,#9467bd,-179.3,0.79,16.46
TheHub-MidRoom,74.8,-14.5,#9467bd,-179.25,0.79,16.46
TheHub-MidRoom,80.18,-13.78,#9467bd,-179.2,0.79,16.46
TheHub-MidRoom,85.94,-13.66,#9467bd,-179.14,0.79,16.46
TheHub-MidRoom,92.12,-11.2,#9467bd,-179.08,0.79,16.46
TheHub-MidRoom,98.74,-9.7,#9467bd,-179.01,0.79,16.46
TheHub-MidRoom,105.84,-10.4,#9467bd,-178.94,0.79,16.46
TheHub-MidRoom,113.45,-10.86,#9467bd,-178.87,0.79,16.46
TheHub-MidRoom,121.6,-12.71,#9467bd,-178.78,0.79,16.46
TheHub-MidRoom,130.35,-11.56,#9467bd,-178.7,0.79,16.46
TheHub-MidRoom,139.72,-11.74,#9467bd,-178.6,0.79,16.46
TheHub-MidRoom,149.76,-11.12,#9467bd,-178.5,0.79,16.46
TheHub-MidRoom,160.53,-10.44,#9467bd,-178.39,0.79,16.46
TheHub-MidRoom,172.07,-10.7,#9467bd,-178.28,0.79,16.46
TheHub-MidRoom,184.44,-11.44,#9467bd,-178.16,0.79,16.46
TheHub-MidRoom,197.7,-11.92,#9467bd,-178.02,0.79,16.46
TheHub-MidRoom,211.91,-11.62,#9467bd,-177.88,0.79,16.46
TheHub-MidRoom,227.15,-12.96,#9467bd,-177.73,0.79,16.46
TheHub-MidRoom,243.48,-12.19,#9467bd,-177.57,0.79,16.46
TheHub-MidRoom,260.98,-12.87,#9467bd,-177.39,0.79,16.46
TheHub-MidRoom,279.74,-12.39,#9467bd,-177.2,0.79,16.46
TheHub-MidRoom,299.85,-12.56,#9467bd,-177.0,0.79,16.46
TheHub-MidRoom,321.41,-10.99,#9467bd,-176.79,0.79,16.46
TheHub-MidRoom,344.52,-9.71,#9467bd,-176.55,0.79,16.46
TheHub-MidRoom,369.28,-9.88,#9467bd,-176.31,0.79,16.46
TheHub-MidRoom,395.83,-9.7,#9467bd,-176.04,0.79,16.46
TheHub-MidRoom,424.29,-9.96,#9467bd,-175.76,0.79,16.46
TheHub-MidRoom,454.79,-10.95,#9467bd,-175.45,0.79,16.46
TheHub-MidRoom,487.49,-10.67,#9467bd,-175.13,0.79,16.46
TheHub-MidRoom,522.54,-11.54,#9467bd,-174.77,0.79,16.46
TheHub-MidRoom,560.1,-10.87,#9467bd,-174.4,0.79,16.46
TheHub-MidRoom,600.37,-8.76,#9467bd,-174.0,0.79,16.46
TheHub-MidRoom,643.53,-7.03,#9467bd,-173.56,0.79,16.46
TheHub-MidRoom,689.79,-5.91,#9467bd,-173.1,0.79,16.46
TheHub-MidRoom,739.38,-4.9,#9467bd,-172.61,0.79,16.46
TheHub-MidRoom,792.54,-7.84,#9467bd,-172.07,0.79,16.46
TheHub-MidRoom,849.51,-15.66,#9467bd,-171.5,0.79,16.46
TheHub-MidRoom,910.59,-30.92,#9467bd,-170.89,0.79,16.46
TheHub-MidRoom,976.05,-58.5,#9467bd,-170.24,0.79,16.46
TheHub-MidRoom,1046.22,-103.94,#9467bd,-169.54,0.79,16.46
TheHub-MidRoom,1121.43,-171.6,#9467bd,-168.79,0.79,16.46
TheHub-MidRoom,1202.06,-273.49,#9467bd,-167.98,0.79,16.46
TheHub-MidRoom,1288.47,-421.23,#9467bd,-167.12,0.79,16.46
TheHub-MidRoom,1381.1,-627.71,#9467bd,-166.19,0.79,16.46
TheHub-MidRoom,1480.39,-914.53,#9467bd,-165.2,0.79,16.46
TheHub-MidRoom,1586.82,-1306.37,#9467bd,-164.13,0.79,16.46
TheHub-MidRoom,1700.9,-1835.16,#9467bd,-162.99,0.79,16.46
TheHub-MidRoom,1823.18,-2541.21,#9467bd,-161.77,0.79,16.46
TheHub-MidRoom,1954.25,-3476.78,#9467bd,-160.46,0.79,16.46
TheHub-MidRoom,2094.74,-4707.43,#9467bd,-159.05,0.79,16.46
TheHub-MidRoom,2245.34,-6315.62,#9467bd,-157.55,0.79,16.46
TheHub-MidRoom,2406.76,-8403.9,#9467bd,-155.93,0.79,16.46
TheHub-MidRoom,2579.78,-11106.93,#9467bd,-154.2,0.79,16.46
TheHub-MidRoom,2765.24,-14585.16,#9467bd,-152.35,0.79,16.46
TheHub-MidRoom,2964.04,-19044.94,#9467bd,-150.36,0.79,16.46
TheHub-MidRoom,3177.13,-24744.59,#9467bd,-148.23,0.79,16.46
TheHub-MidRoom,3405.54,-32007.23,#9467bd,-145.94,0.79,16.46
TheHub-MidRoom,3650.37,-41231.24,#9467bd,-143.5,0.79,16.46
TheHub-MidRoom,3912.8,-52923.5,#9467bd,-140.87,0.79,16.46
TheHub-MidRoom,4194.09,-67703.64,#9467bd,-138.06,0.79,16.46
TheHub-MidRoom,4495.61,-86350.92,#9467bd,-135.04,0.79,16.46
TheHub-MidRoom,4818.81,-109833.95,#9467bd,-131.81,0.79,16.46
TheHub-MidRoom,5165.24,-139355.76,#9467bd,-128.35,0.79,16.46
TheHub-MidRoom,5536.57,-176410.37,#9467bd,-124.63,0.79,16.46
TheHub-MidRoom,5934.6,-222852.3,#9467bd,-120.65,0.79,16.46
TheHub-MidRoom,6361.25,-280982.32,#9467bd,-116.39,0.79,16.46
TheHub-MidRoom,6818.57,-353656.0,#9467bd,-111.81,0.79,16.46
TheHub-MidRoom,7308.77,-444408.85,#9467bd,-106.91,0.79,16.46
TheHub-MidRoom,7834.2,-557625.97,#9467bd,-101.66,0.79,16.46
TheHub-MidRoom,8397.41,-698733.44,#9467bd,-96.03,0.79,16.46
TheHub-MidRoom,9001.12,-874447.45,#9467bd,-89.99,0.79,16.46
TheHub-MidRoom,9648.22,-1093083.82,#9467bd,-83.52,0.79,16.46
TheHub-MidRoom,10341.84,-1364924.49,#9467bd,-76.58,0.79,16.46
TheHub-MidRoom,11085.33,-1702687.98,#9467bd,-69.15,0.79,16.46
TheHub-MidRoom,11882.27,-2122094.2,#9467bd,-61.18,0.79,16.46
TheHub-MidRoom,12736.5,-2642577.23,#9467bd,-52.64,0.79,16.46
TheHub-MidRoom,13652.14,-3288143.05,#9467bd,-43.48,0.79,16.46
TheHub-MidRoom,14633.61,-4088458.28,#9467bd,-33.66,0.79,16.46
TheHub-MidRoom,15685.64,-5080155.13,#9467bd,-23.14,0.79,16.46
TheHub-MidRoom,16813.31,-6308471.39,#9467bd,-11.87,0.79,16.46
TheHub-MidRoom,18022.04,-7829260.54,#9467bd,0.22,0.79,16.46
TheHub-MidRoom,19317.66,-9711468.98,#9467bd,13.18,0.79,16.46
TheHub-BackCorner,20.0,-22.74,#1f77b4,-179.8,0.8,16.11
TheHub-BackCorner,21.44,-21.94,#1f77b4,-179.79,0.8,16.11
TheHub-BackCorner,22.98,-21.51,#1f77b4,-179.77,0.8,16.11
TheHub-BackCorner,24.63,-20.17,#1f77b4,-179.75,0.8,16.11
TheHub-BackCorner,26.4,-20.02,#1f77b4,-179.74,0.8,16.11
TheHub-BackCorner,28.3,-17.9,#1f77b4,-179.72,0.8,16.11
TheHub-BackCorner,30.33,-17.85,#1f77b4,-179.7,0.8,16.11
TheHub-BackCorner,32.52,-16.26,#1f77b4,-179.67,0.8,16.11
TheHub-BackCorner,34.85,-15.39,#1f77b4,-179.65,0.8,16.11
TheHub-BackCorner,37.36,-13.18,#1f77b4,-179.63,0.8,16.11
TheHub-BackCorner,40.04,-12.88,#1f77b4,-179.6,0.8,16.11
TheHub-BackCorner,42.92,-12.99,#1f77b4,-179.57,0.8,16.11
TheHub-BackCorner,46.01,-11.92,#1f77b4,-179.54,0.8,16.11
TheHub-BackCorner,49.32,-11.04,#1f77b4,-179.51,0.8,16.11
TheHub-BackCorner,52.86,-10.43,#1f77b4,-179.47,0.8,16.11
TheHub-BackCorner,56.66,-10.12,#1f77b4,-179.43,0.8,16.11
TheHub-BackCorner,60.74,-10.24,#1f77b4,-179.39,0.8,16.11
TheHub-BackCorner,65.1,-9.83,#1f77b4,-179.35,0.8,16.11
TheHub-BackCorner,69.78,-9.82,#1f77b4,-179.3,0.8,16.11
TheHub-BackCorner,74.8,-9.75,#1f77b4,-179.25,0.8,16.11
TheHub-BackCorner,80.18,-9.63,#1f77b4,-179.2,0.8,16.11
TheHub-BackCorner,85.94,-10.6,#1f77b4,-179.14,0.8,16.11
TheHub-BackCorner,92.12,-10.84,#1f77b4,-179.08,0.8,16.11
TheHub-BackCorner,98.74,-11.89,#1f77b4,-179.01,0.8,16.11
TheHub-BackCorner,105.84,-13.48,#1f77b4,-178.94,0.8,16.11
TheHub-BackCorner,113.45,-14.64,#1f77b4,-178.87,0.8,16.11
TheHub-BackCorner,121.6,-15.77,#1f77b4,-178.78,0.8,16.11
TheHub-BackCorner,130.35,-17.51,#1f77b4,-178.7,0.8,16.11
TheHub-BackCorner,139.72,-16.38,#1f77b4,-178.6,0.8,16.11
TheHub-BackCorner,149.76,-16.94,#1f77b4,-178.5,0.8,16.11
TheHub-BackCorner,160.53,-14.74,#1f77b4,-178.39,0.8,16.11
TheHub-BackCorner,172.07,-14.35,#1f77b4,-178.28,0.8,16.11
TheHub-BackCorner,184.44,-13.18,#1f77b4,-178.16,0.8,16.11
TheHub-BackCorner,197.7,-13.8,#1f77b4,-178.02,0.8,16.11
