position,Frequency_Hz,Magnitude_dB,Phase_deg,Color,STI,STI_Degradation_%
TheHub-MidRoom,20.0,-24.55,-36.15,#9467bd,0.79,16.46
TheHub-MidRoom,20.07,-24.23,-36.09,#9467bd,0.79,16.46
TheHub-MidRoom,20.15,-24.45,-36.03,#9467bd,0.79,16.46
TheHub-MidRoom,20.22,-24.93,-35.97,#9467bd,0.79,16.46
TheHub-MidRoom,20.29,-25.1,-35.91,#9467bd,0.79,16.46
TheHub-MidRoom,20.37,-25.08,-35.85,#9467bd,0.79,16.46
TheHub-MidRoom,20.44,-24.61,-35.79,#9467bd,0.79,16.46
TheHub-MidRoom,20.52,-24.11,-35.72,#9467bd,0.79,16.46
TheHub-MidRoom,20.59,-25.68,-35.66,#9467bd,0.79,16.46
TheHub-MidRoom,20.67,-24.87,-35.6,#9467bd,0.79,16.46
TheHub-MidRoom,20.74,-24.88,-35.53,#9467bd,0.79,16.46
TheHub-MidRoom,20.82,-23.96,-35.47,#9467bd,0.79,16.46
TheHub-MidRoom,20.89,-24.57,-35.4,#9467bd,0.79,16.46
TheHub-MidRoom,20.97,-25.1,-35.34,#9467bd,0.79,16.46
TheHub-MidRoom,21.04,-24.57,-35.27,#9467bd,0.79,16.46
TheHub-MidRoom,21.12,-24.35,-35.21,#9467bd,0.79,16.46
TheHub-MidRoom,21.2,-24.33,-35.14,#9467bd,0.79,16.46
TheHub-MidRoom,21.28,-24.54,-35.07,#9467bd,0.79,16.46
TheHub-MidRoom,21.35,-24.22,-35.0,#9467bd,0.79,16.46
TheHub-MidRoom,21.43,-25.19,-34.93,#9467bd,0.79,16.46
TheHub-MidRoom,21.51,-24.17,-34.86,#9467bd,0.79,16.46
TheHub-MidRoom,21.59,-25.84,-34.79,#9467bd,0.79,16.46
TheHub-MidRoom,21.67,-24.77,-34.72,#9467bd,0.79,16.46
TheHub-MidRoom,21.75,-25.05,-34.65,#9467bd,0.79,16.46
TheHub-MidRoom,21.82,-25.11,-34.58,#9467bd,0.79,16.46
TheHub-MidRoom,21.9,-25.07,-34.51,#9467bd,0.79,16.46
TheHub-MidRoom,21.98,-24.65,-34.43,#9467bd,0.79,16.46
TheHub-MidRoom,22.06,-24.52,-34.36,#9467bd,0.79,16.46
TheHub-MidRoom,22.14,-24.49,-34.29,#9467bd,0.79,16.46
TheHub-MidRoom,22.23,-24.82,-34.21,#9467bd,0.79,16.46
TheHub-MidRoom,22.31,-25.34,-34.13,#9467bd,0.79,16.46
